7zip 24.09+dfsg-8
libgmp10:amd64 2:6.3.0+dfsg-3
libgnutls30t64:amd64 3.8.9-3
libgoa-1.0-0b:amd64 3.54.2-1
libgoa-1.0-common 3.54.2-1
libgomp1:amd64 14.2.0-19
libgpg-error-l10n 1.51-4
libgpg-error0:amd64 1.51-4
libgpgme11t64:amd64 1.24.2-3
libgpgmepp6t64:amd64 1.24.2-3
libgphoto2-6t64:amd64 2.5.31-4
libgphoto2-l10n 2.5.31-4
libgphoto2-port12t64:amd64 2.5.31-4
libgpm2:amd64 1.20.7-11+b2
libgprofng0:amd64 2.44-3
libgraphene-1.0-0:amd64 1.10.8-5
libgraphite2-3:amd64 1.3.14-2+b1
libgs-common 10.05.1~dfsg-1
libgs10:amd64 10.05.1~dfsg-1
libgs10-common 10.05.1~dfsg-1
libgsm1:amd64 1.0.22-1+b2
libgssapi-krb5-2:amd64 1.21.3-5
libgssdp-1.6-0:amd64 1.6.3-2
libgstreamer-gl1.0-0:amd64 1.26.2-1
libgstreamer-plugins-bad1.0-0:amd64 1.26.2-3
libgstreamer-plugins-base1.0-0:amd64 1.26.2-1
libgstreamer1.0-0:amd64 1.26.2-2
libgtk-3-0t64:amd64 3.24.49-3
libgtk-3-bin 3.24.49-3
libgtk-3-common 3.24.49-3
libgtk-4-1:amd64 4.18.6+ds-2
libgtk-4-bin 4.18.6+ds-2
libgtk-4-common 4.18.6+ds-2
libgtk-4-media-gstreamer 4.18.6+ds-2
libgtk-layer-shell0 0.9.0-2
libgtk2.0-0t64:amd64 2.24.33-7
libgtk2.0-bin 2.24.33-7
libgtk2.0-common 2.24.33-7
libgtk3-perl 0.038-3
